store_name,address,Latitude,Longitude,district,district_en
두마리찜닭 관악 난곡점,서울 관악구 신림동 1727,37.4697047,126.9191013,관악구,gwanak_gu
카사아지오,서울 강남구 역삼동 672-33,37.5036217,127.0393356,강남구,gangnam_gu
갯벌낙지 수제비,서울 서대문구 남가좌동 3-92,37.5834061,126.9230893,서대문구,seodaemun_gu
우사골 순대국밥,서울 서대문구 대현동 56-33,37.5580752,126.9450861,서대문구,seodaemun_gu
명랑한찜닭,서울 서대문구 창천동 52-144,37.5584584,126.9352087,서대문구,seodaemun_gu
보길도 활어회,서울 서대문구 북아현동 180-16,37.5632077,126.954749,서대문구,seodaemun_gu
돈낙곱순,서울 서대문구 홍제동 176-6,37.5876208,126.9462312,서대문구,seodaemun_gu
밥스틸러김치찜 명지대점,서울 서대문구 홍은동 398-11,37.581801,126.9269492,서대문구,seodaemun_gu
팔백국밥 신촌점,서울 서대문구 창천동 53-59,37.5590038,126.9341931,서대문구,seodaemun_gu
화덕 등갈비,서울 서대문구 연희동 141-34,37.577503,126.9366988,서대문구,seodaemun_gu
곤지암할매국밥&왕갈비탕 신림점,서울 관악구 신림동 1680-4,37.4774238,126.9143798,관악구,gwanak_gu
행복한찜닭,서울 서대문구 대현동 60-7,37.558885,126.9460921,서대문구,seodaemun_gu
길상식당,서울 서대문구 창천동 57-34,37.5572072,126.9356502,서대문구,seodaemun_gu
명물 옛날 수제 돼지갈비,서울 서대문구 창천동 2-28,37.5587992,126.9384715,서대문구,seodaemun_gu
일품아구찜,서울 송파구 문정동 652,37.4855846,127.1225635,송파구,songpa_gu
일품낙지 & 쭈꾸미,서울 송파구 문정동 652,37.4855846,127.1225635,송파구,songpa_gu
일품갈비 & 냉면,서울 송파구 문정동 652,37.4855846,127.1225635,송파구,songpa_gu
금메달 아구찜,서울 송파구 문정동 652,37.4855846,127.1225635,송파구,songpa_gu
삼겹 & 제육끝판왕,서울 송파구 문정동 652,37.4855846,127.1225635,송파구,songpa_gu
달보드레안주마을,서울 송파구 잠실동 196,37.5099049,127.0791961,송파구,songpa_gu
풀리어트샐러드,서울 송파구 문정동 651,37.4855846,127.1225635,송파구,songpa_gu
98떡볶이,서울 송파구 마천동 141-17,37.4981363,127.1495215,송파구,songpa_gu
솜고래다방,서울 관악구 신림동 1525-4,37.4705515,126.9336796,관악구,gwanak_gu
남도한정식,서울 용산구 한강로3가 16-9,37.5328141,126.9597276,용산구,yongsan_gu
라쿤피자,서울 송파구 방이동 124-22,37.5096918,127.1176761,송파구,songpa_gu
정통마라탕 마포마라회관 선릉점,서울 강남구 대치동 896-16,37.5036335,127.052218,강남구,gangnam_gu
헬키푸키 선릉점,서울 강남구 대치동 908,37.5005034,127.0512048,강남구,gangnam_gu
신밥샵,서울 성동구 마장동 388-19,37.5626675,127.0419304,성동구,seongdong_gu
화양양고기꼬치전문점,서울 광진구 화양동 9-50,37.5426884,127.069118,광진구,gwangjin_gu
정성성 도시락,서울 강남구 역삼동 797-3,37.4949746,127.0393841,강남구,gangnam_gu
타코로코,서울 서대문구 창천동 53-20,37.5581135,126.9346323,서대문구,seodaemun_gu
리틀갱스터,서울 용산구 도원동 3-6,37.5391856,126.9579049,용산구,yongsan_gu
배떡 홍제점,서울 서대문구 홍제동 154-10,37.585867,126.9462261,서대문구,seodaemun_gu
삼미마라탕,서울 서대문구 창천동 62-23,37.556763,126.934142,서대문구,seodaemun_gu
캘리인더볼,서울 서대문구 창천동 445,37.5616305,126.927291,서대문구,seodaemun_gu
미타우동,서울 서대문구 홍제동 287-216,37.5960015,126.9470523,서대문구,seodaemun_gu
민정이네 베트남 쌀국수,서울 서대문구 홍제동 287-49,37.596972,126.9472984,서대문구,seodaemun_gu
아비꼬 신촌점,서울 서대문구 창천동 5-31,37.5586695,126.9395046,서대문구,seodaemun_gu
엘살루드,서울 서대문구 창천동 2-21,37.5589369,126.9386493,서대문구,seodaemun_gu
화라라마라탕,서울 서대문구 대현동 34-34,37.5593129,126.9442885,서대문구,seodaemun_gu
한뿌리죽 이촌본점,서울 용산구 이촌동 301-10,37.5200574,126.9745365,용산구,yongsan_gu
신룽푸 마라탕,서울 서대문구 대현동 60-8,37.5590354,126.9459066,서대문구,seodaemun_gu
홍대개미 신촌점,서울 서대문구 창천동 18-9,37.5571569,126.9371269,서대문구,seodaemun_gu
정 한뿌리죽 키친 송파점,서울 송파구 방이동 218-25,37.5074165,127.1227745,송파구,songpa_gu
유가네닭갈비 신대방삼거리역점,서울 동작구 상도동 328-10,37.4987807,126.9288996,동작구,dongjak_gu
전골떡볶이 덕미가,서울 서대문구 대현동 54-9,37.5579661,126.9460909,서대문구,seodaemun_gu
언젠가는,서울 동작구 사당동 88-11,37.4885327,126.9818303,동작구,dongjak_gu
생백골뱅이집,서울 마포구 상암동 2-141,37.5763037,126.8967253,마포구,mapo_gu
제비뽑기,서울 성동구 성수동2가 277-40,37.5440001,127.0621497,성동구,seongdong_gu
포보스 쌀국수,서울 성동구 성수동2가 280,37.5466713,127.0661249,성동구,seongdong_gu
세미,서울 광진구 광장동 257-4,37.5470626,127.103877,광진구,gwangjin_gu
포아이니베트남쌀국수 광장점,서울 광진구 광장동 287-4,37.5475592,127.1044574,광진구,gwangjin_gu
37.5 파스타 브런치 광진점,서울 광진구 광장동 322-6,37.5471989,127.1076351,광진구,gwangjin_gu
와로샐러드 서울지점,서울 송파구 가락동 174-24,37.4959505,127.1351597,송파구,songpa_gu
황금해장국,서울 송파구 마천동 125-23,37.4974487,127.1483899,송파구,songpa_gu
만들다,서울 송파구 마천동 128-9,37.4958303,127.1500425,송파구,songpa_gu
아토키토 샐러드&포케 가좌점,서울 서대문구 북가좌동 484,37.5712513,126.912253,서대문구,seodaemun_gu
타이반쩜상암점,서울 서대문구 북가좌동 372-14,37.5764774,126.9047758,서대문구,seodaemun_gu
도화곱창,서울 마포구 도화동 179-7,37.5413245,126.9494398,마포구,mapo_gu
샐러드 스웨이쿡,서울 광진구 군자동 150-12,37.5538945,127.0739889,광진구,gwangjin_gu
