,store_name,address,district,district_en
397,전주식당,서울 종로구 관수동 43-2,종로구,jongno_gu
398,미담쭈꾸미,서울 종로구 관철동 22,종로구,jongno_gu
399,한티옥,서울 송파구 방이동 182-2,송파구,songpa_gu
400,다한,서울 서대문구 냉천동 261-2,서대문구,seodaemun_gu
401,비빔밥&죽해까득,서울 양천구 신정동 907-9,양천구,yangcheon_gu
402,밀밭,서울 송파구 방이동 159-16,송파구,songpa_gu
403,팜앤라이프,서울 마포구 신수동 288-9,마포구,mapo_gu
404,화수목 (花水木),서울 마포구 신수동 103-4,마포구,mapo_gu
405,주식회사 여진곱,서울 종로구 낙원동 66,종로구,jongno_gu
406,자연담은도시락,서울 종로구 내수동 73,종로구,jongno_gu
407,아시안쿠진,서울 종로구 내자동 3-1,종로구,jongno_gu
408,육십삼 프로방스 마포공덕점,서울 마포구 도화동 268,마포구,mapo_gu
409,일오삼 나주곰탕 마포점,서울 마포구 도화동 201-14,마포구,mapo_gu
410,우리동네,서울 양천구 목동 739-5,양천구,yangcheon_gu
411,마라연구소 목동점,서울 양천구 목동 753-12,양천구,yangcheon_gu
412,안녕꽃게씨,서울 마포구 성산동 159-2,마포구,mapo_gu
413,해물상회,서울 종로구 인의동 25,종로구,jongno_gu
414,성경,서울 마포구 공덕동 256-5,마포구,mapo_gu
415,꼬꼬누룽지통닭,서울 양천구 신월동 235-6,양천구,yangcheon_gu
416,칠구네 신림동 백순대&순대국 염창역점,서울 양천구 목동 507-8,양천구,yangcheon_gu
417,리얼파스타(망원점),서울 마포구 망원동 378-9,마포구,mapo_gu
418,라화쿵부 망원점,서울 마포구 망원동 403-21,마포구,mapo_gu
419,치치,서울 종로구 동숭동 1-57,종로구,jongno_gu
420,연아푸드,서울 마포구 염리동 515-1,마포구,mapo_gu
421,고씨네,서울 종로구 동숭동 1-89,종로구,jongno_gu
422,주식회사 니로사,서울 종로구 동숭동 1-152,종로구,jongno_gu
423,포아당 대학로점,서울 종로구 동숭동 1-87,종로구,jongno_gu
